occurrenceID	basisOfRecord	scientificName	eventDate	countryCode	taxonRank	kingdom	phylum	order	family	genus	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	individualCount	dataGeneralizations	country	locality	verbatimLocality	identifiedBy	datasetName	eventRemarks	Organism	organismRemarks	occurrenceStatus
cd_2017_senegal_1931	LivingSpecimen	rattus rattus	2017	SN	species	animalia	chordata	rodentia	muridae	rattus	13.37	-13.37	EPSG:4326	1000	73	Coordinates reflect the location of the study site where the sample was collected	Senegal	Badi Nieriko	buildings	Christophe Diagne	Data from: Ecological and sanitary impacts of bacterial communities associated to biological invasions in African commensal rodent communities DOI/ISSN: 10.1038/s41598-017-14880-1	No dates supplied in publication, year of publication used	bartonella	Assayed using PCR. Number of individuals tested = 73. Number of individuals positive = 0	Absent
ao_2016_nigeria_17140	LivingSpecimen	mastomys natalensis	2011/2013	NG	species	animalia	chordata	rodentia	muridae	mastomys	6.738166809082031	6.102833271026611	EPSG:4326	1000	37	Coordinates reflect the location of the study site where the sample was collected	Nigeria	Ekpoma	NA	Ayodeji Olayemi	Data from: Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria DOI/ISSN: 10.3201/eid2204.150155	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 37. Number of individuals positive = 9	Present
fc_2009_guinea_9826	LivingSpecimen	mastomys erythroleucus	2005-2	GN	species	animalia	chordata	rodentia	muridae	mastomys	10.059666633605957	-12.537833213806152	EPSG:4326	1000	7	Coordinates reflect the location of the study site where the sample was collected	Guinea	Gania	nearby_cultivations	Elisabeth Fichet-Calvet	Data from: Diversity and dynamics in a community of small mammals in coastal Guinea, West Africa DOI/ISSN: 2295-0451	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 1. Number of individuals positive = 0	Absent
gd_2010_niger_9281	LivingSpecimen	mastomys natalensis	2007-12	NE	species	animalia	chordata	rodentia	muridae	mastomys	12.416666984558105	2.8333332538604736	EPSG:4326	1000	21	Coordinates reflect the location of the study site where the sample was collected	Niger	Boumba	peri_domestic	Gauthier Dobigny	Data from: Molecular survey of rodent-borne Trypanosoma in Niger with special emphasis on T. lewisi imported by invasive black rats DOI/ISSN: 10.1016/j.actatropica.2010.11.004	NA	trypanosomatidae	Assayed using PCR. Number of individuals tested = 21. Number of individuals positive = 1	Present
gd_2015_multiple_5569	LivingSpecimen	taterillus petteri	2004/2007	ML	species	animalia	chordata	rodentia	muridae	taterillus	17.016666412353516	2.0999999046325684	EPSG:4326	1000	2	Coordinates reflect the location of the study site where the sample was collected	Mali	Massif of Amastaouas	natural_habitat, dry_wadi	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 2. Number of individuals positive = 0	Absent
jt_2013_multiple_6710	LivingSpecimen	gerbillus nigeriae	2002-4	SN	species	animalia	chordata	rodentia	muridae	gerbillus	13.716666221618652	-16.399999618530273	EPSG:4326	1000	0	Coordinates reflect the location of the study site where the sample was collected	Senegal	Dielmo	houses	Jean-Francois Trape	Data from: The epidemiology and geographic distribution of relapsing fever borreliosis in West and North Africa, with a review of the ornithodoros erraticus complex (Acari: Ixodida) DOI/ISSN: 10.1371/journal.pone.0078473	NA	borrelia	Assayed using PCR. Number of individuals tested = 26. Number of individuals positive = 0	Absent
jm_1987_sierraleone_16082	LivingSpecimen	rodentia	1987	SL	order	animalia	chordata	rodentia	NA	NA	8.206666946411133	-10.85616683959961	EPSG:4326	1000	402	Coordinates reflect the location of the study site where the sample was collected	Sierra Leone	Niahun	peri-domestic	Joseph McCormick	Data from: A Prospective Study of the Epidemiology and Ecology of Lassa Fever DOI/ISSN: 10.1093/infdis/155.3.437	No dates supplied in publication, year of publication used	lassa mammarenavirus	Assayed using Serology. Number of individuals tested = 340. Number of individuals positive = 97	Present
gd_2015_multiple_3106	LivingSpecimen	mastomys huberti	1990/2002	SN	species	animalia	chordata	rodentia	muridae	mastomys	14.866666793823242	-17.116666793823242	EPSG:4326	1000	23	Coordinates reflect the location of the study site where the sample was collected	Senegal	Mbaouane	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 23. Number of individuals positive = 0	Absent
jm_1987_sierraleone_16086	LivingSpecimen	rodentia	1987	SL	order	animalia	chordata	rodentia	NA	NA	8.555675583512297	-11.790164648969588	EPSG:4326	100000	723	Centre of smallest associated administrative district used	Sierra Leone	Kpandebu	peri-domestic	Joseph McCormick	Data from: A Prospective Study of the Epidemiology and Ecology of Lassa Fever DOI/ISSN: 10.1093/infdis/155.3.437	No dates supplied in publication, year of publication used	lassa mammarenavirus	Assayed using Serology. Number of individuals tested = 52. Number of individuals positive = 6	Present
cd_2017_senegal_2_1958	LivingSpecimen	mus musculus	2014/2015	SN	species	animalia	chordata	rodentia	muridae	mus	15.62	-16.25	EPSG:4326	1000	20	Coordinates reflect the location of the study site where the sample was collected	Senegal	Dagathie	buildings	Christophe Diagne	Data from: Serological survey of zoonotic viruses in invasive and native commensal rodents in Senegal, West Africa DOI/ISSN: 10.1089/vbz.2017.2135	NA	mammarenavirus	Assayed using PCR. Number of individuals tested = 20. Number of individuals positive = 0	Absent
dc_2011_cotedivoire_9419	LivingSpecimen	crocidura	2003/2005	CI	genus	animalia	chordata	soricomorpha	soricidae	crocidura	6.141666889190674	-4.956833362579346	EPSG:4326	1000	2	Coordinates reflect the location of the study site where the sample was collected	Ivory Coast	Lamto	peri_domestic	David Coulibaly-N'golo	Data from: Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Cote d'Ivoire: Implications for evolution of arenaviruses in Africa DOI/ISSN: 10.1371/journal.pone.0020893	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 2. Number of individuals positive = 0	Absent
gd_2015_multiple_5155	LivingSpecimen	mastomys erythroleucus	1990/2013	SN	species	animalia	chordata	rodentia	muridae	mastomys	12.550000190734863	-12.166666984558105	EPSG:4326	1000	17	Coordinates reflect the location of the study site where the sample was collected	Senegal	Fadiga	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 17. Number of individuals positive = 0	Absent
cb_2018_senegal_1630	LivingSpecimen	praomys daltoni	2011/2014	SN	species	animalia	chordata	rodentia	muridae	praomys	12.456000328063965	-16.637332916259766	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Senegal	Diakene-Wolof	buildings	Carine Brouat	Data from: Seroprevalence of Toxoplasma gondii in commensal rodents sampled across Senegal, West Africa DOI/ISSN: 10.1051/parasite/2018036	NA	toxoplasma gondii	Assayed using Serology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
fc_2014_guinea_18080	LivingSpecimen	lemniscomys striatus	2002/2004	GN	species	animalia	chordata	rodentia	muridae	lemniscomys	10.055000305175781	-10.58566665649414	EPSG:4326	1000	18	Coordinates reflect the location of the study site where the sample was collected	Guinea	Bantou	NA	Elisabeth Fichet-Calvet	Data from: Lassa Serology in Natural Populations of Rodents and Horizontal Transmission DOI/ISSN: 10.1089/vbz.2013.1484	NA	lassa mammarenavirus	Assayed using Serology. Number of individuals tested = 18. Number of individuals positive = 2	Present
gh_2013_benin_15736	LivingSpecimen	rattus rattus	2013	BJ	species	animalia	chordata	rodentia	muridae	rattus	6.366666793823242	2.383333444595337	EPSG:4326	1000	60	Coordinates reflect the location of the study site where the sample was collected	Benin	Site 1	urban	Gualbert Houemenou	Data from: Leptospira spp. Prevalence in Small Mammal Populations in Cotonou, Benin DOI/ISSN: 10.5402/2013/502638	No dates supplied in publication, year of publication used	leptospira	Assayed using PCR. Number of individuals tested = 60. Number of individuals positive = 8	Present
dc_2011_cotedivoire_9377	LivingSpecimen	crocidura	2003/2005	CI	genus	animalia	chordata	soricomorpha	soricidae	crocidura	5.805500030517578	-5.492166519165039	EPSG:4326	1000	15	Coordinates reflect the location of the study site where the sample was collected	Ivory Coast	Gbagroube	peri_domestic	David Coulibaly-N'golo	Data from: Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Cote d'Ivoire: Implications for evolution of arenaviruses in Africa DOI/ISSN: 10.1371/journal.pone.0020893	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 15. Number of individuals positive = 0	Absent
gd_2015_multiple_2079	LivingSpecimen	atelerix albiventris	1990/2002	SN	species	animalia	chordata	erinaceomorpha	erinaceidae	atelerix	13.716666221618652	-16.399999618530273	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Senegal	Dielmo-p3	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
sc_2019_senegal_1334	LivingSpecimen	mastomys huberti	2016/2017	SN	species	animalia	chordata	rodentia	muridae	mastomys	15.983316450065217	-15.93125477668285	EPSG:4326	1000	4	Coordinates reflect the location of the study site where the sample was collected	Senegal	Ganket	shrubs, riparian	Stefano Catalano	Data from: Plagiorchis sp. in small mammals of Senegal and the potential emergence of a zoonotic trematodiasis DOI/ISSN: 10.1016/j.ijppaw.2019.02.003	NA	plagiorchis	Assayed using Histology. Number of individuals tested = 4. Number of individuals positive = 3	Present
gd_2015_multiple_4714	LivingSpecimen	rattus rattus	1990/2013	SN	species	animalia	chordata	rodentia	muridae	rattus	13.033333778381348	-16.600000381469727	EPSG:4326	1000	15	Coordinates reflect the location of the study site where the sample was collected	Senegal	Diouloulou	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 15. Number of individuals positive = 0	Absent
sc_2020_senegal_417	LivingSpecimen	mastomys huberti	2017-10/2017-12	SN	species	animalia	chordata	rodentia	muridae	mastomys	15.939487840633879	-15.971468275508458	EPSG:4326	1000	10	Coordinates reflect the location of the study site where the sample was collected	Senegal	Feto	riparian	Stefano Catalano	Data from: Multihost transmission of Schistosoma mansoni in Senegal, 2015-2018 DOI/ISSN: 10.3201/eid2606.200107	NA	schistosoma mansoni	Assayed using PCR. Number of individuals tested = 10. Number of individuals positive = 0	Absent
ay_2019_benin_14771	LivingSpecimen	lemniscomys striatus	2017-9	BJ	species	animalia	chordata	rodentia	muridae	lemniscomys	8.886666297912598	2.6696667671203613	EPSG:4326	1000	0	Coordinates reflect the location of the study site where the sample was collected	Benin	Worogui	houses	Agnes Yadouleton	Data from: Lassa Virus in Pygmy Mice, Benin, 2016–2017 DOI/ISSN: 10.3201/eid2510.180523	NA	lassa mammarenavirus	Assayed using PCR. Number of individuals tested = 26. Number of individuals positive = 0	Absent
cd_2017_senegal_1925	LivingSpecimen	rattus rattus	2017	SN	species	animalia	chordata	rodentia	muridae	rattus	12.83	-15.97	EPSG:4326	1000	29	Coordinates reflect the location of the study site where the sample was collected	Senegal	Marsassoum	buildings	Christophe Diagne	Data from: Ecological and sanitary impacts of bacterial communities associated to biological invasions in African commensal rodent communities DOI/ISSN: 10.1038/s41598-017-14880-1	No dates supplied in publication, year of publication used	orentia	Assayed using PCR. Number of individuals tested = 29. Number of individuals positive = 0	Absent
gd_2015_multiple_2405	LivingSpecimen	mastomys erythroleucus	1990/2002	SN	species	animalia	chordata	rodentia	muridae	mastomys	14.816666603088379	-16.799999237060547	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Senegal	Baniaye	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
cd_2017_senegal_2_1984	LivingSpecimen	mastomys erythroleucus	2014/2015	SN	species	animalia	chordata	rodentia	muridae	mastomys	16.06	-13.91	EPSG:4326	1000	21	Coordinates reflect the location of the study site where the sample was collected	Senegal	Lougue	buildings	Christophe Diagne	Data from: Serological survey of zoonotic viruses in invasive and native commensal rodents in Senegal, West Africa DOI/ISSN: 10.1089/vbz.2017.2135	NA	mammarenavirus	Assayed using PCR. Number of individuals tested = 21. Number of individuals positive = 1	Present
ts_2012_mali_8881	LivingSpecimen	mastomys natalensis	2009-1	ML	species	animalia	chordata	rodentia	muridae	mastomys	14.375	-3.575000047683716	EPSG:4326	1000	3	Coordinates reflect the location of the study site where the sample was collected	Mali	Sinkerma	houses	Tom Schwan	Data from: Endemic foci of tick-borne relapsing fever spirochete Borrelia crocidurae in Mali, West Africa and the potential for human infection DOI/ISSN: 10.1371/journal.pntd.0001924	NA	borrelia	Assayed using Serology. Number of individuals tested = 3. Number of individuals positive = 1	Present
gh_2019_benin_14997	LivingSpecimen	rattus norvegicus	2009/2017	BJ	species	animalia	chordata	rodentia	muridae	rattus	6.373	2.439	EPSG:4326	1000	4	Coordinates reflect the location of the study site where the sample was collected	Benin	Kpankan	urban	Gualbert Houemenou	Data from: Pathogenic Leptospira in Commensal Small Mammals from the Extensively Urbanized Coastal Benin DOI/ISSN: 10.3390/urbansci3030099	NA	leptospira	Assayed using PCR. Number of individuals tested = 4. Number of individuals positive = 0	Absent
sc_2019_senegal_1281	LivingSpecimen	arvicanthis niloticus	2016/2017	SN	species	animalia	chordata	rodentia	muridae	arvicanthis	16.19246485742897	-15.824568143744948	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Senegal	Ndiakhaye	riparian	Stefano Catalano	Data from: Plagiorchis sp. in small mammals of Senegal and the potential emergence of a zoonotic trematodiasis DOI/ISSN: 10.1016/j.ijppaw.2019.02.003	NA	plagiorchis	Assayed using Histology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
gd_2015_multiple_5414	LivingSpecimen	rattus rattus	1990/2013	SN	species	animalia	chordata	rodentia	muridae	rattus	13.033333778381348	-13.283333778381348	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Senegal	Simenti	houses	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
fc_2014_guinea_18056	LivingSpecimen	mastomys erythroleucus	2002/2004	GN	species	animalia	chordata	rodentia	muridae	mastomys	10.00333309173584	-13.893333435058594	EPSG:4326	1000	34	Coordinates reflect the location of the study site where the sample was collected	Guinea	Bamba	NA	Elisabeth Fichet-Calvet	Data from: Lassa Serology in Natural Populations of Rodents and Horizontal Transmission DOI/ISSN: 10.1089/vbz.2013.1484	NA	lassa mammarenavirus	Assayed using Serology. Number of individuals tested = 34. Number of individuals positive = 1	Present
cb_2018_senegal_1733	LivingSpecimen	mus musculus	2011/2014	SN	species	animalia	chordata	rodentia	muridae	mus	16.437334060668945	-15.693333625793457	EPSG:4326	1000	23	Coordinates reflect the location of the study site where the sample was collected	Senegal	Ndombo	buildings	Carine Brouat	Data from: Seroprevalence of Toxoplasma gondii in commensal rodents sampled across Senegal, West Africa DOI/ISSN: 10.1051/parasite/2018036	NA	toxoplasma gondii	Assayed using Serology. Number of individuals tested = 20. Number of individuals positive = 0	Absent
cd_2017_senegal_1923	LivingSpecimen	mastomys erythroleucus	2017	SN	species	animalia	chordata	rodentia	muridae	mastomys	12.57	-15.68	EPSG:4326	1000	16	Coordinates reflect the location of the study site where the sample was collected	Senegal	Diattacounda	buildings	Christophe Diagne	Data from: Ecological and sanitary impacts of bacterial communities associated to biological invasions in African commensal rodent communities DOI/ISSN: 10.1038/s41598-017-14880-1	No dates supplied in publication, year of publication used	orentia	Assayed using PCR. Number of individuals tested = 16. Number of individuals positive = 0	Absent
hd_2020_senegal_400	LivingSpecimen	gerbillus nigeriae	2017-2/2017-3	SN	species	animalia	chordata	rodentia	muridae	gerbillus	15.283333778381348	-13.949999809265137	EPSG:4326	1000	20	Coordinates reflect the location of the study site where the sample was collected	Senegal	Multiple	outdoor	Handi Dahmana	Data from: Rodents as hosts of pathogens and related zoonotic disease risk DOI/ISSN: 10.3390/pathogens9030202	NA	borrelia crocidurae	Assayed using PCR. Number of individuals tested = 15. Number of individuals positive = 1	Present
gh_2019_benin_15099	LivingSpecimen	crocidura olivieri	2009/2017	BJ	species	animalia	chordata	soricomorpha	soricidae	crocidura	6.511	2.634	EPSG:4326	1000	6	Coordinates reflect the location of the study site where the sample was collected	Benin	Hounsa	urban	Gualbert Houemenou	Data from: Pathogenic Leptospira in Commensal Small Mammals from the Extensively Urbanized Coastal Benin DOI/ISSN: 10.3390/urbansci3030099	NA	leptospira	Assayed using PCR. Number of individuals tested = 6. Number of individuals positive = 0	Absent
gd_2015_multiple_2937	LivingSpecimen	gerbilliscus gambiana	1990/2002	SN	species	animalia	chordata	rodentia	muridae	gerbilliscus	14.75	-17.100000381469727	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Senegal	Keur Moussa	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
dc_2011_cotedivoire_9463	LivingSpecimen	gerbilliscus	2003/2005	CI	genus	animalia	chordata	rodentia	muridae	gerbilliscus	8.169500350952148	-2.6061666011810303	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Ivory Coast	Sanguiebo	peri_domestic	David Coulibaly-N'golo	Data from: Novel arenavirus sequences in Hylomyscus sp. and Mus (Nannomys) setulosus from Cote d'Ivoire: Implications for evolution of arenaviruses in Africa DOI/ISSN: 10.1371/journal.pone.0020893	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 1. Number of individuals positive = 0	Absent
cd_2017_senegal_2_1986	LivingSpecimen	mus musculus	2014/2015	SN	species	animalia	chordata	rodentia	muridae	mus	16.06	-13.91	EPSG:4326	1000	22	Coordinates reflect the location of the study site where the sample was collected	Senegal	Lougue	buildings	Christophe Diagne	Data from: Serological survey of zoonotic viruses in invasive and native commensal rodents in Senegal, West Africa DOI/ISSN: 10.1089/vbz.2017.2135	NA	orthopoxvirus	Assayed using PCR. Number of individuals tested = 22. Number of individuals positive = 0	Absent
kk_2013_ghana_15537	LivingSpecimen	mus minutoides	2010/2011	GH	species	animalia	chordata	rodentia	muridae	mus	7.968500137329102	-1.6631666421890259	EPSG:4326	1000	0	Coordinates reflect the location of the study site where the sample was collected	Ghana	Mangoase	houses	Karl Kronmann	Data from: Two Novel Arenaviruses Detected in Pygmy Mice, Ghana DOI/ISSN: 10.3201/eid1911.121491	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 5. Number of individuals positive = 0	Absent
gh_2019_benin_15062	LivingSpecimen	mastomys natalensis	2009/2017	BJ	species	animalia	chordata	rodentia	muridae	mastomys	6.351	2.442	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Benin	Wlacodji	urban	Gualbert Houemenou	Data from: Pathogenic Leptospira in Commensal Small Mammals from the Extensively Urbanized Coastal Benin DOI/ISSN: 10.3390/urbansci3030099	NA	leptospira	Assayed using PCR. Number of individuals tested = 1. Number of individuals positive = 0	Absent
fc_2014_guinea_18364	LivingSpecimen	lemniscomys bellieri	2002/2004	ML	species	animalia	chordata	rodentia	muridae	lemniscomys	12.293000221252441	-8.7714996337890625	EPSG:4326	1000	8	Coordinates reflect the location of the study site where the sample was collected	Mali	Massakoroma	NA	Elisabeth Fichet-Calvet	Data from: Lassa Serology in Natural Populations of Rodents and Horizontal Transmission DOI/ISSN: 10.1089/vbz.2013.1484	NA	lassa mammarenavirus	Assayed using Serology. Number of individuals tested = 8. Number of individuals positive = 0	Absent
gh_2019_benin_15136	LivingSpecimen	rattus rattus	2009/2017	BJ	species	animalia	chordata	rodentia	muridae	rattus	6.359	2.087	EPSG:4326	1000	9	Coordinates reflect the location of the study site where the sample was collected	Benin	Marche de Zobe	urban	Gualbert Houemenou	Data from: Pathogenic Leptospira in Commensal Small Mammals from the Extensively Urbanized Coastal Benin DOI/ISSN: 10.3390/urbansci3030099	NA	leptospira	Assayed using PCR. Number of individuals tested = 9. Number of individuals positive = 0	Absent
ub_2021_sierraleone_14660	LivingSpecimen	mastomys erythroleucus	2014/2016	SL	species	animalia	chordata	rodentia	muridae	mastomys	8.00333309173584	-11.423333168029785	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Sierra Leone	Foindu	village	Umaru Bangura	Data from: Lassa virus circulation in small mammal populations in Bo district, Sierra Leone DOI/ISSN: 10.3390/biology10010028	NA	arenaviridae	Assayed using Serology. Number of individuals tested = 1. Number of individuals positive = 0	Absent
ts_2012_mali_9065	LivingSpecimen	praomys daltoni	2011-9/2011-10	ML	species	animalia	chordata	rodentia	muridae	praomys	14.352999687194824	-3.6543333530426025	EPSG:4326	1000	5	Coordinates reflect the location of the study site where the sample was collected	Mali	Doucombo	houses	Tom Schwan	Data from: Endemic foci of tick-borne relapsing fever spirochete Borrelia crocidurae in Mali, West Africa and the potential for human infection DOI/ISSN: 10.1371/journal.pntd.0001924	NA	borrelia	Assayed using Serology. Number of individuals tested = 5. Number of individuals positive = 2	Present
gh_2019_benin_14952	LivingSpecimen	rattus rattus	2009/2017	BJ	species	animalia	chordata	rodentia	muridae	rattus	6.395	2.398	EPSG:4326	1000	39	Coordinates reflect the location of the study site where the sample was collected	Benin	Fifadji	urban	Gualbert Houemenou	Data from: Pathogenic Leptospira in Commensal Small Mammals from the Extensively Urbanized Coastal Benin DOI/ISSN: 10.3390/urbansci3030099	NA	leptospira	Assayed using PCR. Number of individuals tested = 39. Number of individuals positive = 3	Present
